file_name,WS,Ag,A80,Rp0.2,Rm,s,u,SB,SW,SR,MR,KEA,GSA,BFA,Grat
DC03_05mm_u15_SB050_SW55_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,0.5,15,0.5,55,0.035,0.02,22.22,50.37,27.41,3.7
DC03_05mm_u15_SB050_SW55_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,0.5,15,0.5,55,0.05,0.02,22.79,55.88,21.32,1.47
DC03_05mm_u15_SB050_SW65_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,0.5,15,0.5,65,0.02,0.02,22.06,38.97,38.97,1.47
DC03_05mm_u15_SB050_SW65_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,0.5,15,0.5,65,0.035,0.02,21.48,44.44,34.07,5.19
DC03_05mm_u15_SB050_SW65_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,0.5,15,0.5,65,0.05,0.02,22.22,54.07,23.7,2.22
DC03_05mm_u15_SB050_SW75_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,0.5,15,0.5,75,0.02,0.02,21.32,44.12,34.56,0.74
DC03_05mm_u15_SB050_SW75_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,0.5,15,0.5,75,0.035,0.02,22.22,45.19,32.59,5.19
DC03_05mm_u15_SB050_SW75_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,0.5,15,0.5,75,0.05,0.02,22.22,48.89,28.89,4.44
DC03_10mm_u10_SB010_SW45_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,1.0,10,0.1,45,0.02,0.02,9.26,52.96,37.78,0.74
DC03_10mm_u10_SB010_SW45_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,1.0,10,0.1,45,0.035,0.02,9.26,55.56,35.19,0.74
DC03_10mm_u10_SB010_SW45_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,1.0,10,0.1,45,0.05,0.02,9.63,58.89,31.48,1.11
DC03_10mm_u10_SB010_SW55_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,1.0,10,0.1,55,0.02,0.02,7.41,63.33,29.26,0.74
DC03_10mm_u10_SB010_SW55_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,1.0,10,0.1,55,0.035,0.02,7.78,63.7,28.52,0.74
DC03_10mm_u10_SB010_SW55_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,1.0,10,0.1,55,0.05,0.02,7.43,72.49,20.07,5.58
DC03_10mm_u10_SB010_SW65_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,1.0,10,0.1,65,0.02,0.02,5.56,77.41,17.04,2.22
DC03_10mm_u10_SB010_SW65_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,1.0,10,0.1,65,0.035,0.02,5.2,78.07,16.73,2.6
DC03_10mm_u10_SB010_SW75_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,1.0,10,0.1,75,0.02,0.02,3.7,79.26,17.04,0.74
DC03_10mm_u10_SB010_SW75_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,1.0,10,0.1,75,0.035,0.02,3.7,84.44,11.85,1.48
DC03_10mm_u10_SB010_SW75_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,1.0,10,0.1,75,0.05,0.02,3.72,84.01,12.27,1.49
DC03_10mm_u10_SB020_SW45_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,1.0,10,0.2,45,0.02,0.02,11.11,65.56,23.33,0.74
DC03_10mm_u10_SB020_SW45_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,1.0,10,0.2,45,0.035,0.02,10.78,62.83,26.39,2.23
DC03_10mm_u10_SB020_SW45_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,1.0,10,0.2,45,0.05,0.02,10.74,64.07,25.19,0.74
DC03_10mm_u10_SB020_SW55_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,1.0,10,0.2,55,0.02,0.02,9.67,67.29,23.05,1.12
DC03_10mm_u10_SB020_SW55_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,1.0,10,0.2,55,0.035,0.02,10.0,63.33,26.67,0.37
DC03_10mm_u10_SB020_SW55_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,1.0,10,0.2,55,0.05,0.02,10.0,71.85,18.15,1.48
DC03_10mm_u10_SB020_SW65_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,1.0,10,0.2,65,0.02,0.02,8.89,70.0,21.11,1.11
DC03_10mm_u10_SB020_SW65_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,1.0,10,0.2,65,0.035,0.02,8.89,69.26,21.85,2.22
DC03_10mm_u10_SB020_SW65_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,1.0,10,0.2,65,0.05,0.02,9.26,69.63,21.11,0.74
DC03_10mm_u10_SB020_SW75_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,1.0,10,0.2,75,0.02,0.02,7.81,70.26,21.93,1.49
DC03_10mm_u10_SB020_SW75_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,1.0,10,0.2,75,0.035,0.02,8.15,70.74,21.11,2.22
DC03_10mm_u10_SB020_SW75_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,1.0,10,0.2,75,0.05,0.02,8.52,70.37,21.11,1.85
DC03_10mm_u10_SB030_SW45_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,1.0,10,0.3,45,0.02,0.02,11.52,64.31,24.16,0.37
DC03_10mm_u10_SB030_SW45_SH08_SR0035_MR00,DC03,22.7,42.2,171.8,317.6,1.0,10,0.3,45,0.035,0.02,12.27,64.31,23.42,1.86
DC03_10mm_u10_SB030_SW45_SH08_SR005_MR002,DC03,22.7,42.2,171.8,317.6,1.0,10,0.3,45,0.05,0.02,12.27,61.71,26.02,1.12
DC03_10mm_u10_SB030_SW55_SH08_SR002_MR002,DC03,22.7,42.2,171.8,317.6,1.0,10,0.3,55,0.02,0.02,11.52,63.94,24.54,0.74
